"TipLabel","Brain_Size_mL","Body_Mass_g","Cooperative","Sociality","Territoriality","Diet","Diet_Simple","Foraging_Niche","Foraging_Niche_Simple","Migration","Dev_Mode","Clade","CladeFit"
"Tityra_cayana",1.61,68.1,"NonCooperative","3","weak","Fruit","FruitNectar","AerialSallying","AerialSallying","Sedentary",-2.152371229,"Tyrannidae","Tyrannidae"
"Amazona_vinacea",7.46,315.5,"NonCooperative","3","none","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Chelidoptera_tenebrosa",0.85,35.9,"Cooperative","2","none","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-2.73187365,"Piciformes","Piciformes"
"Turdus_pallidus",1.71,72.1,"NonCooperative","2","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Migratory",-1.945119722,"Muscicapoidea","Muscicapoidea"
"Tityra_semifasciata",1.88,79.3,"NonCooperative","3","weak","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.152371229,"Tyrannidae","Tyrannidae"
"Tyrannus_tyrannus",0.95,39.9,"NonCooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Migratory",-1.900016091,"Tyrannidae","Tyrannidae"
"Formicarius_colma",1.08,45.3,"NonCooperative","3","strong","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",-2.524622143,"Furnariidae","Furnariidae"
"Amazona_leucocephala",5.63,235.5,"NonCooperative","3","none","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Scenopoeetes_dentirostris",3.5,146,"NonCooperative","1","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-1.883746068,"Ptilonorhynchoidea","Ptilonorhynchoidea"
"Dives_dives",2.2,91.7,"NonCooperative","3","strong","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",-1.936180099,"Passeroidea","Passeroidea"
"Calidris_minutilla",0.55,22.9,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Migratory",2.301570989,"Charadriiformes","Charadriiformes"
"Mohoua_ochrocephala",0.71,29.5,"Cooperative","3","weak","Invertebrates","Invertebrates","ArborealGleaning","Gleaning","Sedentary",-2.568692182,"Corvoidea","Corvoidea"
"Pinicola_enucleator",1.58,65.7,"NonCooperative","3","weak","Generalist","Generalist","ArborealGleaning","Gleaning","PartiallyMigratory",-1.413599145,"Passeroidea","Passeroidea"
"Turdus_philomelos",1.63,67.8,"NonCooperative","3","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Migratory",-2.152371229,"Muscicapoidea","Muscicapoidea"
"Oceanodroma_leucorhoa",0.89,36.9,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AerialScreaning","AerialScreaning","Migratory",-1.459682276,"Procellariiformes","Procellariiformes"
"Syma_megarhyncha",1.35,56,"NonCooperative","3","strong","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-2.73187365,"Coraciiformes","Coraciiformes"
"Charadrius_pecuarius",0.82,34,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",2.332707179,"Charadriiformes","Charadriiformes"
"Plectrophenax_nivalis",1.02,42.2,"NonCooperative","2","weak","Seeds","PlantsSeeds","GroundForaging","GroundForaging","Migratory",-1.572868808,"Passeroidea","Passeroidea"
"Colaptes_auratus",3.06,126.5,"NonCooperative","3","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","PartiallyMigratory",-2.88731228,"Piciformes","Piciformes"
"Motacilla_alba",0.6,24.8,"NonCooperative","2","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Migratory",-1.417430178,"Passeroidea","Passeroidea"
